x1::OSD,x2::Dint,x3::L,x4::tm,x5::hs2,x6::wt,x7::Nt,x8::Nh,m1::Drot,m2::Dsh,m3::he,m4::Rmag,m5::Rs,m6::GFF,p1::W,p2::Tnom,p3::nnom,p4::GFF,p5::BSP_T,p6::BSP_n,p7::BSP_Pm,p8::BSP_Mu,p9::BSP_Irms,p10::MSP_n,p11::UWP_Mu
53.0736,22.563265,22.3648,2.317708,10.005955,2.2918396,12,3,21.563265,10.481201,5.249213,10.202205,21.287586,23.623022,0.451048,0.11,3960.0,26.025429,0.2872313,7078.206,212.90385,87.70326,7.5535426,8160.1367,87.93473
54.3936,25.800064,34.1248,2.9547727,5.608619,2.4789083,6,5,24.800064,11.519072,8.6881485,11.661339,18.508652,38.12171,0.7290598,0.11,3960.0,49.157253,0.4417779,8345.911,386.10583,91.37851,12.587963,8983.162,89.81054
51.6576,21.687424,24.4768,2.1805437,5.9133544,3.4892967,5,4,20.687424,10.12993,9.071733,9.798576,16.757067,37.053936,0.5037054,0.11,3960.0,42.893127,0.1708848,17280.064,309.22708,92.22311,10.070354,18479.951,86.83168
57.1776,28.732224,21.8368,3.476243,6.3113027,4.17758,8,4,27.732224,12.570531,7.911385,12.997051,20.677416,41.538506,0.564206,0.11,3960.0,49.558132,0.3608493,8079.9736,305.32642,91.70214,10.06162,8881.275,91.693016
57.7776,25.876225,32.6368,3.356727,6.130696,2.8989747,5,4,24.876225,10.769563,9.819992,11.59893,19.068808,24.367891,0.7504346,0.11,3960.0,29.962534,0.2852121,10351.924,309.18442,90.98604,10.070354,10981.023,89.117355
50.6976,21.497025,13.1968,2.6726336,10.736956,2.181277,15,6,20.497025,9.00975,3.863332,9.580354,21.485468,54.83625,0.3864269,0.11,3960.0,59.638718,0.3532842,8865.819,327.9984,86.18317,15.105592,11814.102,89.60468
57.4176,22.829824,32.1568,2.2284367,8.23906,3.6661377,7,5,21.829824,10.850144,9.054828,10.357802,19.653973,38.924225,0.7547397,0.11,3960.0,42.68114,0.4286152,8107.652,363.90768,91.35836,12.589255,9367.769,91.76053
52.8816,27.285185,20.1088,3.3157804,7.956823,2.7719235,13,5,26.285185,11.857857,4.8413854,12.313647,21.599415,51.81176,0.5010385,0.11,3960.0,60.636517,0.5981214,5565.2705,348.58142,88.50423,12.589212,6504.833,90.71113
57.3216,25.190784,16.0288,2.7279048,8.48181,3.7288537,8,3,24.190784,11.537607,7.5835986,11.413416,21.077202,22.772232,0.420116,0.11,3960.0,25.231895,0.1630839,13245.532,226.2086,90.30434,7.5535154,14408.454,85.4878
57.9216,22.334784,26.8288,2.608389,8.301203,2.4502487,5,5,21.334784,9.73664,9.492206,10.015295,19.468594,22.13283,0.6236425,0.11,3960.0,24.979315,0.2359718,15119.758,373.62302,90.138084,12.586741,16344.743,87.52512
52.5216,24.238785,19.6288,2.18749,10.065187,3.5390868,14,5,23.238785,11.938437,4.076221,11.072519,22.18458,52.31849,0.4876888,0.11,3960.0,56.571224,0.5614105,5042.215,296.4357,86.39885,12.58808,7095.883,91.62334
53.1216,21.382784,30.4288,2.067974,9.88458,2.2604816,11,7,20.382784,10.137469,5.984828,9.674398,20.575972,53.818787,0.6779263,0.11,3960.0,59.02965,0.7342214,5426.6074,417.23822,86.967094,17.62475,6985.701,91.07541
51.1056,23.362944,21.7408,2.05119,8.507217,4.382756,12,3,22.362944,11.585438,5.364111,10.668674,20.188688,43.73608,0.4625506,0.11,3960.0,47.074924,0.3066136,6563.9854,210.75974,88.802376,7.555072,7853.0063,90.74253
53.0256,23.743744,14.3008,2.566578,7.5926986,2.6778495,10,4,22.743744,10.826661,7.048229,10.730227,19.464571,39.02684,0.3715858,0.11,3960.0,44.980473,0.2245577,12187.588,286.59872,90.40075,10.072628,14069.086,87.36798
54.6144,25.129856,29.2192,2.705823,8.54337,2.405592,7,9,24.129856,11.538251,6.198902,11.388473,21.108297,47.093624,0.6761977,0.11,3960.0,54.013622,0.730678,8356.068,639.3764,91.24433,22.65834,9444.414,89.48851
56.5344,25.510656,21.779202,3.2216432,8.896167,2.0233595,19,4,24.510656,10.778611,6.6157055,11.449917,21.651495,50.072304,0.585814,0.11,3960.0,57.738842,0.5977272,4164.969,260.70142,83.766945,10.070394,5020.907,89.31782
58.4544,25.891457,14.3392,2.2374635,9.248963,4.641127,6,5,24.891457,13.0189705,7.0325084,11.886362,22.19469,29.12774,0.4187682,0.11,3960.0,31.356874,0.1882947,18898.906,372.65182,91.58097,12.58919,20856.885,86.22512
54.3744,31.032255,18.8992,2.4536295,6.6156125,2.917034,8,7,30.032255,16.258638,5.0554595,14.40272,22.13174,49.937035,0.5030774,0.11,3960.0,63.25313,0.5535993,9102.972,527.7246,91.540436,17.623148,9989.239,89.95242
56.1744,22.464256,21.2992,2.0933528,11.004531,2.7905226,21,4,21.464256,10.859191,5.850541,10.20879,22.236658,52.32744,0.5757063,0.11,3960.0,56.331387,0.6257159,3260.8313,213.66539,80.04274,10.070452,4813.798,92.035774
58.0944,22.845057,13.859201,2.6100373,13.891958,2.0536382,10,6,21.845057,10.097822,3.732714,10.270019,25.314486,23.37451,0.3839523,0.11,3960.0,24.917442,0.2633468,14131.798,389.72128,87.4452,15.106957,16401.973,85.59241
54.1584,24.444416,12.611201,2.0770009,10.894483,3.235471,10,7,23.444416,12.306295,3.962509,11.202958,23.116692,43.71981,0.3866268,0.11,3960.0,47.180855,0.3536693,11386.417,421.70914,89.5219,17.623137,15460.128,89.47437
54.2784,33.393215,32.771202,2.9530976,6.8583617,2.97975,10,5,32.393215,16.946102,3.5842302,15.458334,23.55497,39.486534,0.7134482,0.11,3960.0,50.472565,0.9223763,3899.5159,376.65823,88.64794,12.597178,4339.144,83.41992
50.6784,26.729216,27.9712,2.1727865,5.545895,3.5874248,8,3,25.729216,13.746724,6.428697,12.321411,18.910503,36.4351,0.5422286,0.11,3960.0,45.215923,0.3108905,7054.6533,229.67393,90.81008,7.5527835,7703.2607,90.820045
58.5984,22.350016,38.5312,2.9891253,11.41947,4.192401,6,5,21.350016,8.986047,6.704722,9.927727,22.594479,23.135582,0.8385503,0.11,3960.0,24.198212,0.4255811,8129.3237,362.29755,90.846016,12.57454,9346.958,90.10182
54.5184,27.490816,13.091201,3.2052913,8.786119,2.468308,9,7,26.490816,12.225715,4.727673,12.444085,22.531527,41.760246,0.3934077,0.11,3960.0,48.344265,0.3536981,13549.23,501.85236,90.342896,17.624838,15177.001,88.78638
59.9184,25.586817,20.2912,2.1244617,11.952874,2.0887737,21,5,24.586817,13.027374,5.212918,11.762293,24.746283,46.466312,0.6187401,0.11,3960.0,50.95916,0.6772874,3954.8076,280.4962,80.75536,12.590262,4889.258,88.89181
54.0624,26.805376,26.4832,2.575605,8.602602,3.652839,9,4,25.805376,12.995487,5.02591,12.258787,22.005291,30.498861,0.5626379,0.11,3960.0,34.160442,0.4451284,6296.4634,293.50168,89.879974,10.070375,7161.3975,89.87735
54.6624,23.949375,37.2832,2.4560888,8.421995,2.374234,7,6,22.949375,11.194519,6.934517,10.860665,20.396683,33.463795,0.7599365,0.11,3960.0,38.195534,0.6073041,6911.0186,439.51822,90.35832,15.107044,7778.5254,88.42038
58.2624,30.613377,12.083201,3.2364,9.734462,4.766559,8,8,29.613377,14.393897,4.0900497,13.997588,25.041151,46.431747,0.4273065,0.11,3960.0,50.906277,0.4277139,12165.262,544.88324,91.24743,20.140722,14844.778,90.316284
58.5024,24.710976,22.4032,3.4877293,9.127589,4.609769,5,8,23.710976,9.675239,7.768123,10.983556,21.483076,42.219547,0.6037671,0.11,3960.0,45.23248,0.3782469,14696.856,582.14136,93.09264,20.140026,16916.746,91.409805
53.7024,23.758976,26.0032,2.9473145,10.710966,4.420002,11,5,22.758976,10.076068,4.260746,10.642659,22.590454,45.655228,0.586285,0.11,3960.0,48.11437,0.5767673,5232.722,316.0508,87.93273,12.555295,6938.196,91.42775
54.4224,29.851776,26.9632,2.2038953,6.494238,2.885676,8,4,28.851776,15.9149065,5.7910743,13.874914,21.420126,30.425663,0.588609,0.11,3960.0,38.35386,0.4382107,6669.1777,306.044,90.26442,10.075969,7242.27,88.67384
47.4864,21.931135,31.7152,2.2708156,6.370032,2.7356734,11,3,20.931135,10.123466,6.4076004,9.897864,17.3356,45.37706,0.5440287,0.11,3960.0,53.362877,0.3776416,5439.642,215.11899,88.38589,7.5527053,6365.582,91.40264
56.4864,26.691135,13.715201,3.4713774,9.017541,2.0547173,20,4,25.691135,11.122342,5.8800907,11.977724,22.36311,49.792027,0.4419335,0.11,3960.0,57.673134,0.4086325,6122.9097,262.0109,85.00823,10.070407,7343.284,88.9965
54.2064,23.263935,20.675201,3.3272667,10.773109,3.204113,10,5,22.263935,8.9625635,4.698123,10.300151,22.405077,33.292805,0.4769081,0.11,3960.0,35.78068,0.3991043,7966.6094,332.9573,89.436745,12.589222,9953.587,90.35633
58.4064,27.071936,36.275204,2.488062,11.904969,4.3178334,9,9,26.071936,13.360973,3.762263,12.413953,25.440937,47.317955,0.8945775,0.11,3960.0,50.243153,1.3935086,3636.6663,530.691,87.32513,22.652058,5151.3755,87.97435
